SppCode1,SppCode2,SIF,Direction,sd,2.50%,97.50%,Rhat,psiA,sd,2.50%,97.50%,Rhat,psiBA,sd,2.50%,97.50%,Rhat,psiBa,sd,2.50%,97.50%,Rhat,psiB,sd,2.50%,97.50%,Rhat,pA,sd,2.50%,97.50%,Rhat,pB,sd,2.50%,97.50%,Rhat
CEAL,SYGR,2.34,None,1.43,0.41,5.83,1,0.1,0.05,0.03,0.22,1,0.6,0.25,0.12,0.98,1,0.29,0.2,0.05,0.83,1,0.32,0.18,0.1,0.81,1,0.02,0.01,0.01,0.04,1,0.01,0,0,0.01,1
CEAL,TAOR,4.36,None,2.56,0.78,10.51,1,0.1,0.05,0.03,0.22,1,0.56,0.25,0.11,0.97,1,0.12,0.12,0.01,0.46,1,0.16,0.11,0.04,0.48,1,0.02,0.01,0.01,0.04,1,0.01,0.01,0,0.03,1
CEAL,TRAN,1.22,None,0.27,0.61,1.69,1,0.1,0.05,0.03,0.22,1,0.79,0.17,0.38,0.99,1,0.63,0.07,0.49,0.75,1,0.64,0.06,0.52,0.76,1,0.02,0.01,0.01,0.04,1,0.08,0,0.07,0.09,1
CEAL,TRST,0.97,None,0.32,0.32,1.52,1,0.1,0.05,0.03,0.22,1,0.63,0.21,0.2,0.97,1,0.66,0.07,0.52,0.79,1,0.66,0.07,0.52,0.78,1,0.02,0.01,0.01,0.04,1,0.03,0,0.03,0.04,1
CEAL,TRSY,0.88,None,0.13,0.55,1.02,1,0.1,0.04,0.03,0.2,1,0.85,0.13,0.52,1,1,0.98,0.02,0.94,1,1,0.97,0.02,0.92,1,1,0.02,0.01,0.01,0.04,1,0.26,0.01,0.25,0.27,1
CENA,CICI,0.86,None,0.17,0.49,1.17,1,0.16,0.05,0.08,0.27,1,0.66,0.14,0.36,0.91,1,0.79,0.06,0.66,0.9,1,0.77,0.06,0.65,0.88,1,0.11,0.01,0.09,0.13,1,0.05,0,0.04,0.05,1
CENA,ORAF,0.71,None,0.41,0.11,1.67,1,0.16,0.05,0.08,0.27,1,0.21,0.13,0.03,0.52,1,0.32,0.08,0.18,0.49,1,0.3,0.07,0.18,0.46,1,0.11,0.01,0.09,0.13,1,0.02,0,0.01,0.03,1
CENA,OTCR,1.81,None,0.8,0.51,3.61,1,0.16,0.05,0.08,0.27,1,0.4,0.2,0.09,0.85,1,0.2,0.1,0.07,0.43,1,0.23,0.09,0.1,0.46,1,0.11,0.01,0.09,0.13,1,0.01,0,0,0.02,1
CENA,PACY,0.94,None,0.08,0.74,1.03,1,0.16,0.05,0.08,0.27,1,0.91,0.08,0.69,1,1,0.98,0.02,0.93,1,1,0.97,0.02,0.92,1,1,0.11,0.01,0.09,0.13,1,0.31,0.01,0.29,0.32,1
CENA,POLA,0.93,None,0.15,0.59,1.2,1,0.16,0.05,0.08,0.27,1,0.74,0.13,0.45,0.95,1,0.81,0.06,0.68,0.92,1,0.8,0.06,0.68,0.9,1,0.11,0.01,0.09,0.13,1,0.05,0,0.05,0.06,1
CENA,SYCA,0.92,None,0.27,0.41,1.48,1,0.16,0.05,0.08,0.27,1,0.56,0.17,0.23,0.9,1,0.62,0.1,0.43,0.83,1,0.61,0.09,0.43,0.8,1,0.11,0.01,0.09,0.13,1,0.01,0,0.01,0.02,1
CENA,SYGR,0.66,None,0.54,0.02,2.01,1,0.16,0.05,0.08,0.27,1,0.28,0.24,0.01,0.88,1,0.48,0.24,0.12,0.96,1,0.45,0.21,0.12,0.87,1,0.11,0.01,0.09,0.13,1,0,0,0,0.01,1
CENA,TRSY,0.94,None,0.08,0.74,1.03,1,0.16,0.05,0.08,0.27,1,0.91,0.08,0.69,1,1,0.98,0.02,0.93,1,1,0.97,0.02,0.92,1,1,0.11,0.01,0.09,0.13,1,0.26,0.01,0.25,0.27,1
CHPY,AEME,1.12,None,0.08,0.98,1.29,1,0.57,0.06,0.44,0.69,1,0.81,0.07,0.66,0.92,1,0.61,0.09,0.43,0.78,1,0.72,0.06,0.61,0.83,1,0.06,0,0.05,0.07,1,0.17,0.01,0.16,0.18,1
CHPY,ALBU,0.73,None,0.18,0.38,1.08,1,0.57,0.06,0.44,0.69,1,0.22,0.08,0.1,0.39,1,0.42,0.1,0.22,0.63,1,0.31,0.06,0.19,0.44,1,0.06,0,0.05,0.07,1,0.03,0,0.02,0.04,1
CHPY,ATPA,1.14,None,0.15,0.85,1.46,1,0.57,0.06,0.44,0.69,1,0.47,0.1,0.29,0.66,1,0.34,0.1,0.16,0.55,1,0.41,0.07,0.28,0.56,1,0.06,0,0.05,0.07,1,0.02,0,0.02,0.03,1
CHPY,BDCR,1.17,None,0.24,0.68,1.63,1,0.57,0.06,0.44,0.7,1,0.24,0.08,0.1,0.41,1,0.16,0.08,0.04,0.34,1,0.2,0.06,0.11,0.33,1,0.06,0,0.05,0.07,1,0.03,0.01,0.02,0.04,1
CHPY,CEAL,1.39,None,0.31,0.7,1.94,1,0.57,0.06,0.45,0.7,1,0.17,0.08,0.05,0.35,1,0.06,0.06,0,0.21,1,0.12,0.05,0.04,0.25,1,0.06,0,0.05,0.07,1,0.02,0.01,0.01,0.04,1
CHPY,CENA,1.31,None,0.23,0.85,1.78,1,0.57,0.06,0.44,0.69,1,0.23,0.07,0.11,0.38,1,0.1,0.06,0.02,0.24,1,0.17,0.05,0.09,0.28,1,0.06,0,0.05,0.07,1,0.11,0.01,0.09,0.13,1
CHPY,CICI,1.1,None,0.07,0.97,1.25,1,0.57,0.06,0.44,0.69,1,0.84,0.07,0.7,0.96,1,0.67,0.09,0.48,0.85,1,0.77,0.06,0.65,0.87,1,0.06,0,0.05,0.07,1,0.05,0,0.04,0.05,1
CHPY,GASA,1.39,None,0.21,0.98,1.83,1,0.57,0.06,0.44,0.7,1,0.42,0.12,0.21,0.7,1,0.15,0.09,0.02,0.37,1,0.3,0.09,0.16,0.5,1,0.06,0,0.05,0.07,1,0.01,0,0.01,0.02,1
CHPY,GEGE,1.01,None,0.06,0.9,1.13,1,0.57,0.06,0.44,0.69,1,0.81,0.07,0.66,0.92,1,0.78,0.08,0.61,0.92,1,0.8,0.05,0.69,0.89,1,0.06,0,0.05,0.07,1,0.13,0,0.12,0.14,1
CHPY,HEIC,0.56,None,0.23,0.15,1.03,1,0.57,0.06,0.44,0.69,1,0.25,0.17,0.04,0.7,1,0.66,0.2,0.27,0.98,1,0.43,0.15,0.18,0.76,1,0.06,0,0.05,0.07,1,0.01,0,0,0.01,1
CHPY,HIAM,0.51,None,0.35,0.02,1.24,1,0.57,0.06,0.44,0.69,1,0.21,0.22,0,0.82,1,0.55,0.26,0.1,0.98,1,0.36,0.19,0.07,0.79,1,0.06,0,0.05,0.07,1,0,0,0,0.01,1
CHPY,HYAF,1.11,None,0.11,0.9,1.33,1,0.57,0.06,0.44,0.69,1,0.62,0.09,0.45,0.78,1,0.49,0.1,0.3,0.68,1,0.57,0.07,0.44,0.69,1,0.06,0,0.05,0.07,1,0.04,0,0.04,0.05,1
CHPY,ICAL,1.06,None,0.17,0.73,1.4,1,0.57,0.06,0.44,0.69,1,0.68,0.18,0.34,0.98,1,0.6,0.2,0.24,0.96,1,0.65,0.15,0.36,0.92,1,0.06,0,0.05,0.07,1,0.01,0,0,0.01,1
CHPY,LEMI,0.8,None,0.19,0.43,1.19,1,0.57,0.06,0.44,0.69,1,0.26,0.09,0.11,0.47,1,0.41,0.13,0.19,0.7,1,0.33,0.08,0.19,0.51,1,0.06,0,0.05,0.07,1,0.02,0,0.01,0.02,1
CHPY,LESE,0.7,None,0.34,0.12,1.4,1,0.57,0.06,0.44,0.69,1,0.09,0.09,0.01,0.33,1,0.19,0.15,0.03,0.61,1,0.13,0.09,0.04,0.41,1,0.06,0,0.05,0.07,1,0.02,0.01,0,0.04,1
CHPY,LOAF,1.03,None,0.04,0.96,1.12,1,0.57,0.06,0.44,0.69,1,0.95,0.04,0.85,1,1,0.88,0.07,0.73,0.98,1,0.92,0.04,0.84,0.98,1,0.06,0,0.05,0.07,1,0.06,0,0.05,0.06,1
CHPY,MATE,0.51,None,0.36,0.02,1.27,1,0.57,0.06,0.44,0.69,1,0.2,0.22,0,0.83,1,0.53,0.27,0.09,0.98,1,0.34,0.19,0.06,0.79,1,0.06,0,0.05,0.07,1,0,0,0,0.01,1
CHPY,MECA,1.05,None,0.15,0.75,1.36,1,0.57,0.06,0.44,0.69,1,0.51,0.12,0.3,0.75,1,0.46,0.13,0.22,0.74,1,0.49,0.09,0.32,0.68,1,0.06,0,0.05,0.07,1,0.01,0,0.01,0.02,1
CHPY,MUMU,1.24,None,0.21,0.81,1.66,1,0.57,0.06,0.44,0.69,1,0.42,0.14,0.2,0.74,1,0.24,0.12,0.06,0.53,1,0.34,0.1,0.18,0.58,1,0.06,0,0.05,0.07,1,0.01,0,0.01,0.02,1
CHPY,ORAF,0.96,None,0.2,0.56,1.35,1,0.57,0.06,0.44,0.69,1,0.29,0.09,0.13,0.48,1,0.32,0.11,0.13,0.55,1,0.3,0.07,0.18,0.45,1,0.06,0,0.05,0.07,1,0.02,0,0.01,0.03,1
CHPY,OTCR,0.76,None,0.26,0.28,1.27,1,0.57,0.06,0.44,0.69,1,0.19,0.11,0.05,0.45,1,0.33,0.16,0.1,0.74,1,0.25,0.1,0.1,0.52,1,0.06,0,0.05,0.07,1,0.01,0,0,0.02,1
CHPY,OUOU,1.03,None,0.06,0.92,1.15,1,0.57,0.06,0.44,0.69,1,0.84,0.06,0.7,0.94,1,0.79,0.08,0.62,0.92,1,0.82,0.05,0.71,0.9,1,0.06,0,0.05,0.07,1,0.12,0,0.11,0.13,1
CHPY,PACY,1,None,0.02,0.96,1.05,1,0.57,0.06,0.44,0.69,1,0.97,0.03,0.9,1,1,0.96,0.03,0.87,1,1,0.97,0.02,0.91,1,1,0.06,0,0.05,0.07,1,0.31,0.01,0.29,0.32,1
CHPY,PALE,1.15,None,0.31,0.52,1.74,1,0.57,0.06,0.44,0.69,1,0.32,0.21,0.07,0.87,1,0.23,0.19,0.02,0.77,1,0.28,0.17,0.07,0.72,1,0.06,0,0.05,0.07,1,0.01,0,0,0.02,1
CHPY,POLA,1.07,None,0.07,0.95,1.22,1,0.57,0.06,0.44,0.69,1,0.85,0.07,0.71,0.96,1,0.72,0.09,0.53,0.88,1,0.79,0.06,0.68,0.89,1,0.06,0,0.05,0.07,1,0.05,0,0.05,0.06,1
CHPY,RERE,0.94,None,0.09,0.77,1.11,1,0.57,0.06,0.44,0.7,1,0.63,0.08,0.45,0.78,1,0.71,0.09,0.52,0.87,1,0.66,0.06,0.54,0.78,1,0.06,0,0.05,0.07,1,0.05,0,0.04,0.06,1
CHPY,SYCA,1.12,None,0.13,0.88,1.38,1,0.57,0.06,0.44,0.69,1,0.66,0.11,0.45,0.89,1,0.51,0.13,0.27,0.78,1,0.6,0.09,0.43,0.78,1,0.06,0,0.05,0.07,1,0.01,0,0.01,0.02,1
CHPY,SYGR,1,None,0.28,0.44,1.55,1,0.57,0.06,0.44,0.69,1,0.42,0.23,0.09,0.93,1,0.42,0.24,0.07,0.94,1,0.42,0.2,0.12,0.84,1,0.06,0,0.05,0.07,1,0,0,0,0.01,1
CHPY,TAOR,1.05,None,0.35,0.36,1.69,1,0.57,0.06,0.44,0.69,1,0.3,0.23,0.04,0.89,1,0.27,0.23,0.02,0.88,1,0.29,0.2,0.05,0.77,1,0.06,0,0.05,0.07,1,0.01,0.01,0,0.02,1
CHPY,TRST,1.03,None,0.09,0.86,1.22,1,0.57,0.06,0.44,0.69,1,0.68,0.09,0.5,0.83,1,0.63,0.1,0.42,0.82,1,0.65,0.07,0.52,0.78,1,0.06,0,0.05,0.07,1,0.03,0,0.03,0.04,1
CHPY,TRSY,1,None,0.02,0.96,1.05,1,0.57,0.06,0.44,0.69,1,0.97,0.03,0.9,1,1,0.96,0.03,0.87,1,1,0.97,0.02,0.91,1,1,0.06,0,0.05,0.07,1,0.26,0.01,0.25,0.27,1
CICI,OTCR,0.99,None,0.17,0.62,1.28,1,0.78,0.06,0.66,0.88,1,0.24,0.11,0.09,0.52,1,0.25,0.18,0.03,0.71,1,0.24,0.1,0.1,0.5,1,0.05,0,0.04,0.05,1,0.01,0,0,0.02,1
CICI,PACY,1.01,None,0.02,0.99,1.05,1,0.78,0.06,0.66,0.89,1,0.98,0.02,0.93,1,1,0.93,0.07,0.75,1,1,0.97,0.02,0.92,1,1,0.05,0,0.04,0.05,1,0.31,0.01,0.29,0.32,1
CICI,SYCA,1.1,None,0.08,0.95,1.27,1,0.79,0.06,0.66,0.89,1,0.66,0.1,0.46,0.86,1,0.38,0.18,0.07,0.76,1,0.6,0.09,0.43,0.78,1,0.05,0,0.04,0.05,1,0.01,0,0.01,0.02,1
CICI,TRSY,1.01,None,0.02,0.99,1.05,1,0.78,0.06,0.66,0.89,1,0.98,0.02,0.93,1,1,0.93,0.07,0.76,1,1,0.97,0.02,0.92,1,1,0.05,0,0.04,0.05,1,0.26,0.01,0.25,0.27,1
COTA,AEME,1.25,None,0.15,0.94,1.53,1,0.15,0.05,0.07,0.26,1,0.9,0.09,0.66,1,1,0.69,0.06,0.56,0.81,1,0.72,0.06,0.6,0.82,1,0.05,0.01,0.03,0.06,1,0.17,0.01,0.16,0.18,1
COTA,ALBU,1.49,None,0.53,0.56,2.62,1,0.15,0.05,0.07,0.26,1,0.45,0.16,0.15,0.78,1,0.28,0.07,0.16,0.42,1,0.3,0.06,0.19,0.43,1,0.05,0.01,0.03,0.06,1,0.03,0,0.02,0.04,1
COTA,ATPA,0.83,None,0.36,0.23,1.62,1,0.15,0.05,0.07,0.26,1,0.34,0.16,0.09,0.68,1,0.42,0.08,0.28,0.59,1,0.41,0.07,0.28,0.56,1,0.05,0.01,0.03,0.06,1,0.02,0,0.02,0.03,1
COTA,BDCR,0.56,None,0.48,0.02,1.77,1,0.15,0.05,0.07,0.26,1,0.11,0.1,0,0.38,1,0.22,0.06,0.11,0.36,1,0.2,0.06,0.11,0.33,1,0.05,0.01,0.03,0.06,1,0.03,0.01,0.02,0.04,1
COTA,CEAL,1.16,None,0.95,0.04,3.47,1,0.15,0.05,0.07,0.26,1,0.14,0.12,0,0.46,1,0.12,0.06,0.04,0.26,1,0.12,0.05,0.04,0.25,1,0.05,0.01,0.03,0.06,1,0.02,0.01,0.01,0.04,1
COTA,CENA,0.55,None,0.48,0.02,1.77,1,0.15,0.05,0.07,0.26,1,0.1,0.09,0,0.33,1,0.19,0.05,0.1,0.31,1,0.18,0.05,0.09,0.28,1,0.05,0.01,0.03,0.06,1,0.11,0.01,0.09,0.13,1
COTA,CHPY,0.7,None,0.25,0.25,1.2,1,0.16,0.05,0.07,0.26,1,0.4,0.15,0.14,0.7,1,0.6,0.07,0.46,0.73,1,0.57,0.06,0.45,0.69,1,0.05,0.01,0.03,0.06,1,0.06,0,0.05,0.07,1
COTA,CICI,0.95,None,0.18,0.57,1.26,1,0.15,0.05,0.07,0.26,1,0.73,0.15,0.42,0.97,1,0.78,0.06,0.65,0.89,1,0.77,0.06,0.65,0.87,1,0.05,0.01,0.03,0.06,1,0.05,0,0.04,0.05,1
COTA,GASA,0.88,None,0.51,0.14,2.05,1,0.15,0.05,0.07,0.26,1,0.27,0.17,0.04,0.66,1,0.32,0.1,0.16,0.54,1,0.31,0.09,0.16,0.51,1,0.05,0.01,0.03,0.06,1,0.01,0,0.01,0.02,1
COTA,GEGE,0.89,None,0.16,0.54,1.16,1,0.15,0.05,0.07,0.26,1,0.71,0.14,0.41,0.93,1,0.81,0.05,0.7,0.91,1,0.8,0.05,0.69,0.89,1,0.05,0.01,0.03,0.06,1,0.13,0,0.12,0.14,1
COTA,HEIC,1.05,None,0.57,0.18,2.4,1,0.15,0.05,0.07,0.26,1,0.49,0.25,0.07,0.96,1,0.5,0.22,0.16,0.95,1,0.5,0.2,0.18,0.9,1,0.05,0.01,0.03,0.06,1,0,0,0,0.01,1
COTA,HIAM,1.07,None,0.9,0.04,3.41,1,0.15,0.05,0.07,0.26,1,0.38,0.28,0.01,0.95,1,0.45,0.27,0.05,0.96,1,0.44,0.24,0.07,0.9,1,0.05,0.01,0.03,0.06,1,0,0,0,0.01,1
COTA,HINI,1.83,None,0.46,0.97,2.82,1,0.15,0.05,0.07,0.26,1,0.65,0.16,0.32,0.92,1,0.31,0.07,0.18,0.45,1,0.36,0.06,0.24,0.49,1,0.05,0.01,0.03,0.06,1,0.03,0,0.03,0.04,1
COTA,HYAF,0.54,None,0.24,0.14,1.05,1,0.16,0.05,0.07,0.26,1,0.31,0.14,0.08,0.62,1,0.62,0.07,0.48,0.75,1,0.57,0.07,0.44,0.7,1,0.05,0.01,0.03,0.06,1,0.04,0,0.04,0.05,1
COTA,ICAL,0.97,None,0.38,0.3,1.78,1,0.15,0.05,0.07,0.26,1,0.6,0.23,0.17,0.98,1,0.65,0.18,0.33,0.97,1,0.64,0.16,0.35,0.93,1,0.05,0.01,0.03,0.06,1,0.01,0,0,0.01,1
COTA,KOEL,0.95,None,0.09,0.72,1.08,1,0.16,0.05,0.07,0.26,1,0.9,0.09,0.65,1,1,0.95,0.03,0.87,0.99,1,0.94,0.03,0.87,0.98,1,0.05,0.01,0.03,0.06,1,0.34,0.01,0.33,0.35,1
COTA,LEMI,1.59,None,0.57,0.6,2.81,1,0.15,0.05,0.07,0.26,1,0.5,0.18,0.17,0.86,1,0.29,0.08,0.15,0.47,1,0.32,0.08,0.18,0.49,1,0.05,0.01,0.03,0.06,1,0.02,0,0.01,0.02,1
COTA,LESE,1.25,None,1.02,0.04,3.77,1,0.15,0.05,0.07,0.26,1,0.15,0.16,0,0.6,1,0.13,0.1,0.03,0.42,1,0.13,0.1,0.03,0.41,1,0.05,0.01,0.03,0.06,1,0.02,0.01,0,0.04,1
COTA,LOAF,0.85,None,0.12,0.57,1.03,1,0.16,0.05,0.07,0.26,1,0.8,0.12,0.51,0.97,1,0.95,0.03,0.87,1,1,0.93,0.04,0.85,0.98,1,0.05,0.01,0.03,0.06,1,0.06,0,0.05,0.06,1
COTA,MATE,1.15,None,0.97,0.04,3.67,1,0.15,0.05,0.07,0.26,1,0.38,0.28,0.01,0.95,1,0.42,0.27,0.04,0.96,1,0.41,0.25,0.06,0.89,1,0.05,0.01,0.03,0.06,1,0,0,0,0.01,1
COTA,MECA,1.38,None,0.39,0.64,2.18,1,0.15,0.05,0.07,0.26,1,0.65,0.18,0.28,0.96,1,0.45,0.1,0.28,0.65,1,0.48,0.09,0.32,0.66,1,0.05,0.01,0.03,0.06,1,0.02,0,0.01,0.02,1
COTA,MUMU,0.45,None,0.38,0.01,1.42,1,0.15,0.05,0.07,0.26,1,0.16,0.14,0,0.54,1,0.39,0.12,0.2,0.68,1,0.35,0.11,0.18,0.61,1,0.05,0.01,0.03,0.06,1,0.01,0,0.01,0.02,1
COTA,ORAF,0.81,None,0.46,0.13,1.86,1,0.15,0.05,0.07,0.26,1,0.24,0.15,0.03,0.58,1,0.31,0.08,0.18,0.48,1,0.3,0.07,0.18,0.45,1,0.05,0.01,0.03,0.06,1,0.02,0,0.01,0.03,1
COTA,OTCR,1.98,None,0.87,0.57,3.95,1,0.15,0.05,0.07,0.26,1,0.43,0.2,0.1,0.88,1,0.19,0.09,0.07,0.41,1,0.23,0.09,0.1,0.44,1,0.05,0.01,0.03,0.06,1,0.01,0,0,0.02,1
COTA,OUOU,1.1,None,0.12,0.82,1.31,1,0.15,0.05,0.07,0.26,1,0.9,0.09,0.65,1,1,0.8,0.06,0.68,0.9,1,0.82,0.05,0.71,0.9,1,0.05,0.01,0.03,0.06,1,0.12,0,0.11,0.13,1
COTA,PACY,0.93,None,0.08,0.72,1.03,1,0.15,0.05,0.07,0.26,1,0.9,0.09,0.68,1,1,0.98,0.02,0.93,1,1,0.97,0.02,0.92,1,1,0.05,0.01,0.03,0.06,1,0.31,0.01,0.29,0.32,1
COTA,PALE,0.91,None,0.76,0.03,2.82,1,0.15,0.05,0.07,0.26,1,0.24,0.22,0.01,0.84,1,0.3,0.2,0.07,0.86,1,0.29,0.19,0.07,0.79,1,0.05,0.01,0.03,0.06,1,0.01,0,0,0.02,1
COTA,PHAF,0.93,None,0.08,0.72,1.03,1,0.15,0.05,0.07,0.26,1,0.9,0.09,0.68,1,1,0.98,0.02,0.93,1,1,0.97,0.02,0.92,1,1,0.05,0.01,0.03,0.06,1,0.38,0.01,0.37,0.4,1
COTA,POLA,1.03,None,0.15,0.7,1.3,1,0.15,0.05,0.07,0.26,1,0.82,0.12,0.53,0.99,1,0.79,0.06,0.66,0.9,1,0.79,0.06,0.68,0.89,1,0.05,0.01,0.03,0.06,1,0.05,0,0.05,0.06,1
COTA,RERE,1.26,None,0.2,0.84,1.63,1,0.15,0.05,0.07,0.26,1,0.83,0.12,0.53,0.99,1,0.63,0.07,0.49,0.76,1,0.66,0.06,0.53,0.78,1,0.05,0.01,0.03,0.06,1,0.05,0,0.04,0.06,1
COTA,SYCA,1.21,None,0.29,0.65,1.79,1,0.15,0.05,0.07,0.26,1,0.71,0.16,0.36,0.97,1,0.57,0.1,0.39,0.77,1,0.59,0.09,0.42,0.77,1,0.05,0.01,0.03,0.06,1,0.02,0,0.01,0.02,1
COTA,SYGR,0.74,None,0.6,0.03,2.25,1,0.15,0.05,0.07,0.26,1,0.31,0.25,0.01,0.91,1,0.47,0.24,0.12,0.95,1,0.44,0.22,0.12,0.88,1,0.05,0.01,0.03,0.06,1,0,0,0,0.01,1
COTA,TAOR,1.1,None,0.92,0.04,3.43,1,0.15,0.05,0.07,0.26,1,0.27,0.24,0.01,0.89,1,0.29,0.23,0.04,0.9,1,0.29,0.21,0.05,0.83,1,0.05,0.01,0.03,0.06,1,0.01,0.01,0,0.02,1
COTA,TRAN,1.1,None,0.21,0.66,1.49,1,0.15,0.05,0.07,0.26,1,0.7,0.14,0.4,0.93,1,0.63,0.07,0.5,0.76,1,0.64,0.06,0.52,0.76,1,0.05,0.01,0.03,0.06,1,0.08,0,0.07,0.09,1
COTA,TRST,1.31,None,0.2,0.89,1.71,1,0.15,0.05,0.07,0.26,1,0.85,0.12,0.56,0.99,1,0.62,0.07,0.47,0.75,1,0.65,0.07,0.52,0.78,1,0.05,0.01,0.03,0.06,1,0.03,0,0.03,0.04,1
COTA,TRSY,0.93,None,0.08,0.72,1.03,1,0.15,0.05,0.07,0.26,1,0.9,0.09,0.68,1,1,0.98,0.02,0.93,1,1,0.97,0.02,0.92,1,1,0.05,0.01,0.03,0.06,1,0.26,0.01,0.25,0.27,1
GASA,AEME,0.72,None,0.16,0.39,1.03,1,0.3,0.09,0.15,0.49,1,0.52,0.13,0.27,0.77,1,0.81,0.07,0.66,0.95,1,0.72,0.06,0.61,0.83,1,0.01,0,0.01,0.02,1,0.17,0.01,0.16,0.18,1
GASA,ALBU,1.07,None,0.4,0.38,1.92,1,0.29,0.09,0.15,0.5,1,0.33,0.13,0.1,0.61,1,0.3,0.08,0.15,0.47,1,0.31,0.06,0.19,0.44,1,0.01,0,0.01,0.02,1,0.03,0,0.02,0.04,1
GASA,ATPA,1.03,None,0.32,0.45,1.71,1,0.29,0.09,0.15,0.5,1,0.42,0.14,0.17,0.72,1,0.41,0.09,0.23,0.6,1,0.41,0.07,0.28,0.56,1,0.01,0,0.01,0.02,1,0.02,0,0.02,0.03,1
GASA,BDCR,1.36,None,0.57,0.39,2.6,1,0.29,0.09,0.15,0.49,1,0.27,0.13,0.07,0.57,1,0.17,0.07,0.05,0.33,1,0.2,0.06,0.11,0.33,1,0.01,0,0.01,0.02,1,0.03,0.01,0.02,0.04,1
GASA,CENA,1.25,None,0.55,0.34,2.47,1,0.29,0.09,0.15,0.49,1,0.21,0.11,0.05,0.46,1,0.16,0.06,0.05,0.29,1,0.17,0.05,0.09,0.28,1,0.01,0,0.01,0.02,1,0.11,0.01,0.09,0.13,1
GASA,CICI,1.13,None,0.13,0.84,1.38,1,0.29,0.09,0.15,0.49,1,0.86,0.1,0.62,0.99,1,0.73,0.08,0.57,0.87,1,0.77,0.06,0.65,0.87,1,0.01,0,0.01,0.02,1,0.05,0,0.04,0.05,1
GASA,GEGE,1.17,None,0.1,0.97,1.37,1,0.3,0.09,0.15,0.5,1,0.93,0.07,0.75,1,1,0.74,0.07,0.58,0.86,1,0.8,0.05,0.69,0.88,1,0.01,0,0.01,0.02,1,0.13,0,0.12,0.14,1
GASA,HEIC,0.88,None,0.46,0.15,1.9,1,0.29,0.09,0.15,0.49,1,0.43,0.25,0.06,0.94,1,0.53,0.23,0.16,0.96,1,0.5,0.19,0.19,0.88,1,0.01,0,0.01,0.02,1,0,0,0,0.01,1
GASA,HIAM,0.9,None,0.67,0.04,2.54,1,0.29,0.09,0.15,0.48,1,0.36,0.28,0.01,0.95,1,0.46,0.27,0.05,0.96,1,0.43,0.22,0.07,0.87,1,0.01,0,0.01,0.02,1,0,0,0,0.01,1
GASA,LOAF,1,None,0.07,0.83,1.13,1,0.29,0.09,0.15,0.5,1,0.92,0.07,0.74,1,1,0.92,0.05,0.81,0.99,1,0.92,0.04,0.83,0.98,1,0.01,0,0.01,0.02,1,0.06,0,0.05,0.06,1
GASA,MECA,0.99,None,0.31,0.43,1.63,1,0.29,0.09,0.15,0.5,1,0.48,0.16,0.19,0.82,1,0.49,0.12,0.28,0.74,1,0.48,0.09,0.32,0.68,1,0.01,0,0.01,0.02,1,0.01,0,0.01,0.02,1
GASA,MUMU,1.44,None,0.5,0.56,2.53,1,0.29,0.09,0.15,0.49,1,0.48,0.2,0.15,0.9,1,0.28,0.12,0.09,0.56,1,0.34,0.1,0.18,0.58,1,0.01,0,0.01,0.02,1,0.01,0,0.01,0.02,1
GASA,ORAF,1.27,None,0.45,0.47,2.24,1,0.29,0.09,0.15,0.5,1,0.38,0.15,0.12,0.71,1,0.27,0.09,0.11,0.45,1,0.3,0.07,0.18,0.45,1,0.01,0,0.01,0.02,1,0.02,0,0.01,0.03,1
GASA,OTCR,1.08,None,0.59,0.18,2.39,1,0.29,0.09,0.15,0.49,1,0.26,0.17,0.03,0.7,1,0.24,0.12,0.06,0.53,1,0.24,0.1,0.1,0.5,1,0.01,0,0.01,0.02,1,0.01,0,0,0.02,1
GASA,PACY,0.97,None,0.05,0.85,1.04,1,0.28,0.09,0.15,0.47,1,0.94,0.05,0.8,1,1,0.98,0.02,0.92,1,1.01,0.97,0.02,0.92,1,1,0.01,0,0.01,0.02,1,0.31,0.01,0.29,0.32,1
GASA,PALE,0.71,None,0.57,0.02,2.09,1,0.29,0.09,0.15,0.5,1,0.2,0.2,0,0.77,1,0.32,0.21,0.07,0.88,1,0.29,0.17,0.07,0.73,1,0.01,0,0.01,0.02,1,0.01,0,0,0.02,1
GASA,POLA,0.97,None,0.14,0.66,1.23,1,0.3,0.09,0.15,0.5,1,0.77,0.12,0.5,0.97,1,0.81,0.07,0.65,0.94,1,0.8,0.06,0.68,0.89,1,0.01,0,0.01,0.02,1,0.05,0,0.05,0.06,1
GASA,SYCA,0.57,None,0.24,0.15,1.08,1,0.28,0.08,0.15,0.47,1,0.34,0.16,0.08,0.7,1,0.69,0.11,0.49,0.91,1,0.59,0.09,0.43,0.78,1,0.01,0,0.01,0.02,1,0.01,0,0.01,0.02,1
GASA,SYGR,1.85,None,0.77,0.59,3.57,1,0.29,0.08,0.15,0.48,1,0.58,0.24,0.14,0.98,1,0.25,0.2,0.02,0.8,1,0.35,0.17,0.11,0.78,1,0.01,0,0.01,0.02,1,0,0,0,0.01,1
GASA,TAOR,0.92,None,0.71,0.03,2.62,1,0.29,0.09,0.15,0.49,1,0.25,0.23,0.01,0.87,1,0.31,0.24,0.03,0.91,1,0.29,0.2,0.05,0.78,1,0.01,0,0.01,0.02,1,0.01,0.01,0,0.02,1
