,Camera,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName
267893,J13,Baboon,12/12/16 5:54,12/12/16,5:54:26,53,1,0,0,Complete/J13/Baboon,EK002338.JPG
339583,M10,Baboon,11/25/16 5:54,11/25/16,5:54:26,119,2,0,0,Complete/M10/Baboon,11250557.JPG
339584,M10,Baboon,11/25/16 5:54,11/25/16,5:54:30,4,0,0,0,Complete/M10/Baboon,11250558.JPG
287174,K06,Baboon,6/22/17 5:54,6/22/17,5:54:38,41,1,0,0,Complete/K06/Baboon,EK007668.JPG
287175,K06,Baboon,6/22/17 5:54,6/22/17,5:54:39,1,0,0,0,Complete/K06/Baboon,EK007669.JPG
339661,M10,Baboon,11/27/16 5:54,11/27/16,5:54:39,35,1,0,0,Complete/M10/Baboon,11270679.JPG
339662,M10,Baboon,11/27/16 5:54,11/27/16,5:54:41,2,0,0,0,Complete/M10/Baboon,11270680.JPG
142101,H05,Baboon,3/31/17 5:54,3/31/17,5:54:42,84763,1413,23.6,1,Complete/H05/Baboon,EK006339.JPG
142102,H05,Baboon,3/31/17 5:54,3/31/17,5:54:42,84763,1413,23.6,1,Complete/H05/Baboon,EK006340.JPG
335003,L13,Baboon,4/13/17 5:54,4/13/17,5:54:43,556,9,0.2,0,Complete/L13/Baboon,04130443.JPG
22665,B09,Baboon,12/22/16 5:54,12/22/16,5:54:44,31,1,0,0,Complete/B09/Baboon,12220351.JPG
335004,L13,Baboon,4/13/17 5:54,4/13/17,5:54:44,1,0,0,0,Complete/L13/Baboon,04130444.JPG
22666,B09,Baboon,12/22/16 5:54,12/22/16,5:54:46,2,0,0,0,Complete/B09/Baboon,12220352.JPG
339899,M10,Baboon,12/13/16 5:54,12/13/16,5:54:50,31,1,0,0,Complete/M10/Baboon,12130176.JPG
339900,M10,Baboon,12/13/16 5:54,12/13/16,5:54:51,1,0,0,0,Complete/M10/Baboon,12130177.JPG
141392,H05,Baboon,12/14/16 5:54,12/14/16,5:54:59,70,1,0,0,Complete/H05/Baboon,EK001573.JPG
141393,H05,Baboon,12/14/16 5:54,12/14/16,5:54:59,70,1,0,0,Complete/H05/Baboon,EK001574.JPG
255825,J07,Baboon,5/9/17 5:54,5/9/17,5:54:59,43202,720,12,0.5,Complete/J07/Baboon,05090014.JPG
255826,J07,Baboon,5/9/17 5:55,5/9/17,5:55:01,2,0,0,0,Complete/J07/Baboon,05090015.JPG
335005,L13,Baboon,4/13/17 5:55,4/13/17,5:55:15,31,1,0,0,Complete/L13/Baboon,04130445.JPG
335006,L13,Baboon,4/13/17 5:55,4/13/17,5:55:16,1,0,0,0,Complete/L13/Baboon,04130446.JPG
267585,J13,Baboon,11/13/16 5:55,11/13/16,5:55:17,74426,1240,20.7,0.9,Complete/J13/Baboon,EK000387.JPG
267586,J13,Baboon,11/13/16 5:55,11/13/16,5:55:17,74426,1240,20.7,0.9,Complete/J13/Baboon,EK000388.JPG
68318,E06,Baboon,12/29/16 5:55,12/29/16,5:55:19,82,1,0,0,Complete/E06/Baboon,EK002881.JPG
68319,E06,Baboon,12/29/16 5:55,12/29/16,5:55:19,82,1,0,0,Complete/E06/Baboon,EK002882.JPG
