SppCode1,SppCode2,SIF,Direction,sd,2.50%,97.50%,Rhat,psiA,sd,2.50%,97.50%,Rhat,psiBA,sd,2.50%,97.50%,Rhat,psiBa,sd,2.50%,97.50%,Rhat,psiB,sd,2.50%,97.50%,Rhat,pA,sd,2.50%,97.50%,Rhat,pB,sd,2.50%,97.50%,Rhat
ATPA,HEIC,1.32,None,0.17,0.99,1.69,1,0.62,0.07,0.49,0.76,1,0.44,0.1,0.26,0.67,1,0.16,0.1,0.02,0.39,1,0.34,0.08,0.21,0.5,1,0.02,0,0.02,0.02,1,0.01,0,0.01,0.02,1
ATPA,HIAM,1.1,None,0.35,0.34,1.71,1,0.62,0.07,0.49,0.75,1,0.42,0.28,0.03,0.96,1,0.32,0.27,0.01,0.93,1,0.38,0.23,0.04,0.84,1,0.02,0,0.02,0.02,1,0,0,0,0.01,1
ATPA,LEMI,1.25,None,0.14,0.99,1.54,1,0.62,0.07,0.49,0.75,1,0.5,0.08,0.34,0.66,1,0.24,0.09,0.08,0.44,1,0.4,0.06,0.28,0.52,1,0.02,0,0.02,0.02,1,0.04,0,0.03,0.05,1
ATPA,LOAF,1.03,None,0.04,0.96,1.11,1,0.62,0.07,0.49,0.76,1,0.94,0.04,0.85,0.99,1,0.88,0.07,0.72,0.98,1,0.92,0.03,0.84,0.97,1,0.02,0,0.02,0.02,1,0.05,0,0.04,0.05,1
ATPA,MECA,0.9,None,0.1,0.7,1.09,1,0.63,0.07,0.49,0.76,1,0.54,0.09,0.36,0.71,1,0.7,0.12,0.46,0.91,1,0.59,0.07,0.46,0.73,1,0.02,0,0.02,0.02,1,0.02,0,0.01,0.02,1
ATPA,MUMU,1.1,None,0.15,0.81,1.41,1,0.63,0.07,0.49,0.76,1,0.62,0.16,0.34,0.95,1,0.47,0.19,0.16,0.88,1,0.56,0.13,0.34,0.85,1,0.02,0,0.02,0.02,1,0.01,0,0,0.01,1
ATPA,ORAF,1.07,None,0.13,0.81,1.34,1,0.62,0.07,0.49,0.75,1,0.48,0.09,0.31,0.67,1,0.4,0.12,0.19,0.64,1,0.45,0.07,0.32,0.59,1,0.02,0,0.02,0.02,1,0.02,0,0.01,0.02,1
ATPA,OTCR,1.09,None,0.17,0.75,1.44,1,0.62,0.07,0.49,0.76,1,0.43,0.12,0.23,0.71,1,0.34,0.14,0.11,0.67,1,0.4,0.1,0.23,0.63,1,0.02,0,0.02,0.02,1,0.01,0,0,0.01,1
ATPA,PACY,1.01,None,0.02,0.97,1.05,1,0.62,0.07,0.49,0.76,1,0.97,0.02,0.91,1,1,0.96,0.04,0.85,1,1,0.97,0.02,0.91,1,1,0.02,0,0.02,0.02,1,0.34,0,0.33,0.35,1
ATPA,PALE,1.07,None,0.26,0.53,1.56,1,0.62,0.07,0.49,0.76,1,0.17,0.08,0.06,0.35,1,0.14,0.09,0.02,0.36,1,0.16,0.06,0.07,0.3,1,0.02,0,0.02,0.02,1,0.01,0,0.01,0.02,1
ATPA,POLA,0.99,None,0.03,0.93,1.06,1,0.62,0.07,0.49,0.76,1,0.92,0.04,0.82,0.98,1,0.94,0.05,0.8,1,1,0.93,0.03,0.85,0.98,1,0.02,0,0.02,0.02,1,0.04,0,0.04,0.04,1
ATPA,SYCA,1.12,None,0.17,0.79,1.46,1,0.62,0.07,0.49,0.75,1,0.34,0.08,0.19,0.5,1,0.24,0.09,0.08,0.45,1,0.3,0.06,0.19,0.42,1,0.02,0,0.02,0.02,1,0.02,0,0.02,0.03,1
ATPA,SYGR,1.03,None,0.18,0.68,1.38,1,0.62,0.07,0.49,0.76,1,0.28,0.07,0.15,0.44,1,0.26,0.1,0.09,0.47,1,0.27,0.06,0.17,0.39,1,0.02,0,0.02,0.02,1,0.03,0,0.03,0.04,1
ATPA,TAOR,1.09,None,0.29,0.49,1.62,1,0.62,0.07,0.49,0.75,1,0.32,0.21,0.06,0.87,1,0.25,0.21,0.02,0.82,1,0.3,0.18,0.07,0.74,1,0.02,0,0.02,0.02,1,0,0,0,0.01,1
ATPA,TRST,1,None,0.06,0.89,1.12,1,0.62,0.07,0.49,0.76,1,0.8,0.07,0.65,0.91,1,0.79,0.09,0.59,0.94,1,0.79,0.05,0.68,0.89,1,0.02,0,0.02,0.02,1,0.03,0,0.03,0.04,1
ATPA,TRSY,1.01,None,0.02,0.97,1.05,1,0.62,0.07,0.49,0.76,1,0.97,0.02,0.91,1,1,0.96,0.04,0.85,1,1,0.97,0.02,0.92,1,1,0.02,0,0.02,0.02,1,0.25,0,0.24,0.26,1
BDCR,AEME,0.78,None,0.13,0.5,1.01,1,0.22,0.05,0.12,0.33,1,0.65,0.12,0.39,0.86,1,0.88,0.05,0.78,0.96,1,0.83,0.05,0.73,0.91,1,0.03,0,0.02,0.03,1,0.16,0,0.15,0.17,1
BDCR,ALBU,0.88,None,0.51,0.13,2.05,1,0.22,0.05,0.12,0.33,1,0.15,0.09,0.02,0.38,1,0.17,0.06,0.08,0.3,1,0.17,0.05,0.08,0.27,1,0.03,0,0.02,0.03,1,0.02,0,0.01,0.03,1
BDCR,CENA,1.97,Positive,0.55,1,3.18,1,0.22,0.05,0.12,0.33,1,0.42,0.13,0.19,0.68,1,0.16,0.05,0.07,0.27,1,0.22,0.05,0.13,0.33,1,0.03,0,0.02,0.03,1,0.06,0.01,0.05,0.07,1
BDCR,CICI,0.93,None,0.09,0.73,1.07,1,0.22,0.05,0.12,0.33,1,0.86,0.09,0.64,0.98,1,0.94,0.04,0.85,0.99,1,0.92,0.03,0.84,0.97,1,0.03,0,0.02,0.03,1,0.06,0,0.06,0.07,1
