"","row","column","cor","p"
"266","road.distance","termites.500m",0.0106996468029492,0.935332246932136
"267","road.major.distance","termites.500m",0.0521936892924969,0.692063670216582
"268","urema.distance","termites.500m",-0.227160601655282,0.0809044702200976
"269","pan.distance","termites.500m",0.263691319886777,0.0417742242827503
"270","river.distance","termites.500m",0.326299255465948,0.0109467965054413
"271","tree.100m","termites.500m",0.376490304900507,0.00302818498004176
"272","tree.250m","termites.500m",0.445634019357536,0.000359452262726823
"273","tree.500m","termites.500m",0.497145074787261,5.32751747777116e-05
"274","tree.1km","termites.500m",0.457904202476457,0.000234368546958796
"275","termites.100m","termites.500m",0.701946831884079,4.13843181945595e-10
"276","termites.250m","termites.500m",0.878525232398264,0
"277","Longitude.UTM","termites.1km",0.507787004112478,3.45247522746117e-05
"278","Latitude.UTM","termites.1km",-0.293896803842437,0.0226542489555963
"279","cover.ground","termites.1km",-0.309619925179158,0.0160693992723271
"280","termite.count.100m","termites.1km",0.188807258585355,0.148525290671007
"281","termite.count.50m","termites.1km",0.0321992971525766,0.807051694944802
"282","termite.large.count.100m","termites.1km",0.176382495962012,0.177623316720826
"283","termite.large.count.50m","termites.1km",-0.0131091930228696,0.920811525288888
"284","habitat.number","termites.1km",0.309364297085527,0.0161616551380463
"285","fire.interval","termites.1km",0.105683319498573,0.42159728781321
"286","poaching.all","termites.1km",-0.0828679144321334,0.52903920813371
"287","poaching.high","termites.1km",0.0675236356869374,0.608217904028513
"288","boundary.distance","termites.1km",0.206223781331746,0.113913613684308
"289","road.distance","termites.1km",0.0315924738622581,0.810620037894612
"290","road.major.distance","termites.1km",0.104723934972854,0.425847758158208
"291","urema.distance","termites.1km",-0.224990900545816,0.083926041957699
"292","pan.distance","termites.1km",0.319868433025686,0.0127239266204933
"293","river.distance","termites.1km",0.406101116971174,0.00128447052389369
"294","tree.100m","termites.1km",0.495863080792708,5.60791434813801e-05
"295","tree.250m","termites.1km",0.568697691843161,2.13177927843589e-06
"296","tree.500m","termites.1km",0.614874376622636,1.72526002817364e-07
"297","tree.1km","termites.1km",0.612961799019056,1.93004403570285e-07
"298","termites.100m","termites.1km",0.625241376690753,9.2699270481944e-08
"299","termites.250m","termites.1km",0.782662503137448,1.50768286744096e-13
"300","termites.500m","termites.1km",0.893226284646916,0
"301","Longitude.UTM","fire2015.date",0.438747708554854,0.0249462725622254
"302","Latitude.UTM","fire2015.date",-0.0176865131916056,0.93166119743687
"303","cover.ground","fire2015.date",-0.24433307090993,0.229006038846381
"304","termite.count.100m","fire2015.date",0.361079591104234,0.0699395568638437
"305","termite.count.50m","fire2015.date",0.186205797206124,0.362415298152212
"306","termite.large.count.100m","fire2015.date",-0.0691384021280976,0.737171191274238
"307","termite.large.count.50m","fire2015.date",-0.168624421737998,0.410250225694383
"308","habitat.number","fire2015.date",0.000430994068484122,0.998332775493938
"309","fire.interval","fire2015.date",-0.189373021072042,0.354160816613622
"310","poaching.all","fire2015.date",0.106687339909621,0.603948490886074
"311","poaching.high","fire2015.date",-0.259156969371095,0.201097386335885
